,cpu,ram,gpu,gpu_mem
732,95.7,325898240,18,412
733,92.8,325898240,18,412
734,96.3,325898240,18,412
735,108.9,325898240,17,412
736,91.6,325898240,17,412
737,106.3,325898240,17,412
738,92.5,325898240,17,412
739,107.9,325898240,17,412
740,93.5,325898240,17,412
741,102.0,325898240,17,412
742,104.3,325898240,17,412
743,103.3,325898240,17,412
744,88.6,325898240,18,412
745,107.3,325898240,18,412
746,104.8,325898240,18,412
747,92.1,325898240,17,412
748,99.6,325898240,17,412
749,101.8,325898240,17,412
750,106.0,325898240,17,412
751,103.0,325898240,17,412
752,86.9,325898240,17,412
753,102.2,325898240,18,412
754,100.5,325898240,18,412
755,98.5,325898240,18,412
756,102.9,325898240,17,412
757,107.3,325898240,17,412
758,99.0,325898240,17,412
759,90.3,325898240,16,412
760,101.9,325898240,16,412
761,102.9,325898240,16,412
762,103.1,325898240,17,412
763,99.3,325898240,17,412
764,102.7,325898240,17,412
765,98.8,325898240,17,412
766,93.4,325898240,17,412
767,107.5,325898240,17,412
768,103.1,325898240,18,412
769,93.6,325898240,18,412
770,104.1,325898240,18,412
771,99.6,325898240,18,412
772,91.1,325898240,18,412
773,110.5,325898240,18,412
774,92.1,325898240,18,412
775,98.0,325898240,18,412
776,105.7,325898240,18,412
777,92.7,325898240,18,412
778,110.4,325898240,18,412
779,103.7,325898240,18,412
780,94.3,325898240,18,412
781,93.4,325898240,18,412
782,107.4,325898240,18,412
783,91.5,325898240,18,412
784,108.6,325898240,18,412
785,96.2,325898240,18,412
786,91.3,325898240,18,412
787,113.4,325898240,18,412
788,92.3,325898240,18,412
789,106.4,325898240,18,412
790,89.4,325898240,18,412
791,109.4,325898240,18,412
792,104.6,325898240,18,412
793,92.3,325898240,18,412
794,92.9,325898240,18,412
795,112.2,325898240,18,412
796,105.4,325898240,18,412
797,93.5,325898240,18,412
798,93.9,325898240,18,412
799,104.2,325898240,18,412
800,97.9,325898240,18,412
801,101.9,325898240,18,412
802,92.6,325898240,18,412
803,105.8,325898240,18,412
804,97.1,325898240,16,412
805,95.0,325898240,16,412
806,111.1,325898240,16,412
807,97.6,325898240,16,412
808,107.9,325898240,16,412
809,93.0,325898240,16,412
810,95.6,325898240,16,412
811,95.9,325898240,17,412
812,108.4,325898240,17,412
813,105.7,325898240,17,412
814,93.4,325898240,18,412
815,96.9,325898240,18,412
816,94.0,325898240,18,412
817,109.0,325898240,18,412
818,105.6,325898240,18,412
819,93.2,325898240,18,412
820,96.1,325898240,18,412
821,102.0,325898240,18,412
822,103.4,325898240,18,412
823,103.9,325898240,18,412
824,99.9,325898240,18,412
825,89.5,325898240,18,412
826,101.1,325898240,18,412
827,100.8,325898240,18,412
828,103.3,325898240,18,412
829,102.8,325898240,16,412
830,88.8,325898240,16,412
831,105.3,325898240,16,412
832,104.5,325898240,16,412
833,89.3,325898240,16,412
834,112.7,325898240,16,412
835,90.2,325898240,16,412
836,100.0,325898240,16,412
837,105.6,325898240,16,412
838,94.0,325898240,18,412
839,108.0,325898240,18,412
840,101.7,325898240,18,412
841,92.0,325898240,18,412
842,103.9,325898240,18,412
843,88.1,325898240,18,412
844,112.2,325898240,18,412
845,92.2,325898240,18,412
846,103.1,325898240,18,412
847,93.5,325898240,18,412
848,106.9,325898240,18,412
849,96.5,325898240,18,412
850,104.2,325898240,17,412
851,106.4,325898240,17,412
852,94.7,325898240,17,412
853,96.1,325898240,17,412
854,107.2,325898240,17,412
855,89.7,325898240,17,412
856,108.4,325898240,18,412
857,91.8,325898240,18,412
858,107.4,325898240,18,412
859,91.7,325898240,18,412
860,92.6,325898240,18,412
861,113.0,325898240,18,412
862,95.3,325898240,18,412
863,109.5,325898240,18,412
864,92.7,325898240,18,412
865,90.7,325898240,18,412
866,107.4,325898240,18,412
867,94.6,325898240,18,412
868,104.5,325898240,18,412
869,105.6,325898240,18,412
870,97.3,325898240,18,412
871,105.8,325898240,18,412
872,92.2,325898240,18,412
873,91.9,325898240,18,412
874,115.8,325898240,18,412
875,92.9,325898240,18,412
876,89.9,325898240,18,412
877,109.3,325898240,18,412
878,107.1,325898240,18,412
879,89.2,325898240,18,412
880,105.2,325898240,18,412
881,102.9,325898240,17,412
882,91.8,325898240,17,412
883,95.2,325898240,17,412
884,104.4,325898240,16,412
885,105.9,325898240,16,412
886,92.0,325898240,16,412
887,106.7,325898240,18,412
888,92.8,325898240,18,412
889,109.5,325898240,18,412
890,92.8,325898240,18,412
891,102.9,325898240,18,412
892,101.1,325898240,18,412
893,105.6,325898240,18,412
894,93.0,325898240,18,412
895,96.1,325898240,18,412
896,108.8,325898240,18,412
897,92.4,325898240,18,412
898,113.3,325898240,17,412
899,86.5,325898240,17,412
900,104.1,325898240,17,412
901,102.6,325898240,17,412
902,89.6,325898240,17,412
903,117.6,325898240,17,412
904,85.3,325898240,17,412
905,114.2,325898240,17,412
906,86.5,325898240,17,412
907,105.1,325898240,17,412
908,99.8,325898240,17,412
909,103.3,325898240,17,412
910,99.8,325898240,17,412
911,89.5,325898240,17,412
912,105.4,325898240,17,412
913,102.7,325898240,17,412
914,103.7,325898240,17,412
915,101.8,325898240,17,412
916,89.3,325898240,17,412
917,105.4,325898240,17,412
918,99.2,325898240,17,412
919,101.0,325898240,16,412
920,102.2,325898240,16,412
921,94.6,325898240,16,412
922,93.4,325898240,16,412
923,104.7,325898240,16,412
924,104.3,325898240,16,412
925,94.2,325898240,17,412
926,105.8,325898240,17,412
927,101.0,325898240,17,412
928,90.5,325898240,16,412
929,106.7,325898240,16,412
930,105.8,325898240,16,412
931,92.7,325898240,17,412
932,93.7,325898240,17,412
933,106.9,325898240,17,412
934,104.0,325898240,17,412
935,94.4,325898240,17,412
936,105.8,325898240,17,412
937,104.7,325898240,17,412
938,90.1,325898240,17,412
939,107.2,325898240,17,412
940,92.4,325898240,17,412
941,105.1,325898240,17,412
942,96.6,325898240,17,412
943,106.0,325898240,17,412
944,97.9,325898240,17,412
945,92.8,325898240,17,412
946,104.8,325898240,16,412
947,96.3,325898240,16,412
948,105.3,325898240,16,412
949,100.9,325898240,16,412
950,88.0,325898240,16,412
951,112.0,325898240,16,412
952,88.9,325898240,16,412
953,112.0,325898240,16,412
954,89.0,325898240,16,412
955,103.8,325898240,17,412
